timestamp,symbol,price,alpha,cs_alpha_z,event_prob,vol_z,roc_5m
1767383340.0,PLTR,168.4900,0.7883,1.0023,0.3882,-1.1971,-0.001126
1767383340.0,TSLA,441.1066,-4.1166,-1.0702,0.8061,-0.7514,0.002663
1767383340.0,UNH,338.3350,-1.2292,-1.0613,0.4979,-0.9929,0.001110
1767383340.0,AMZN,226.5200,1.4252,-1.0652,0.6500,-0.8166,-0.000154
1767383340.0,AMD,223.3800,0.6735,0.9986,0.6974,-1.1668,0.000896
1767383340.0,MSTR,157.6300,1.1725,0.9899,0.5772,-0.2604,-0.001217
1767383340.0,COIN,237.3300,-0.5243,1.0074,0.6366,-0.4517,-0.000547
1767383340.0,NFLX,91.3550,-0.5951,0.9923,0.6507,-0.9140,-0.000383
1767383340.0,CRWV,80.2600,0.6542,-1.0758,0.6329,-0.6792,-0.000871
1767383340.0,AVGO,348.1516,-1.1697,0.9972,0.5525,-1.1168,-0.000509
1767383340.0,MSFT,472.3150,0.8370,0.9930,0.6763,-1.5502,-0.000772
1767383340.0,HOOD,115.2500,-0.6959,0.9874,0.3564,-0.8993,0.000174
1767383340.0,MU,313.9500,0.2838,0.3416,0.5979,-1.5571,-0.000239
1767383340.0,APP,622.0010,-1.0719,0.9999,0.3920,-0.3949,-0.001539
1767383340.0,GOOGL,315.2700,-0.6032,1.0057,0.7064,-0.8317,-0.000159
1767383340.0,WMT,112.6650,0.7463,-1.0643,0.5386,-0.8242,0.000000
1767383340.0,SMCI,31.2750,0.5468,-1.0655,0.5832,0.1702,-0.001437
1767383340.0,ADBE,336.1700,0.8900,0.9984,0.6740,-0.4373,0.000655
1767383340.0,CRM,255.0900,-1.3570,0.9896,0.4326,-1.2597,0.000569
1767383340.0,ORCL,195.8930,-1.3573,-0.4467,0.6081,-1.0297,-0.001056
1767383340.0,NKE,63.1621,-0.4675,0.9932,0.4792,-0.9222,0.000350
1767383340.0,XOM,122.4750,0.9033,-1.0557,0.4039,-1.3636,0.000245
1767383340.0,INTC,39.6525,-1.0938,-1.0662,0.6840,-0.9547,0.000454
1767383340.0,DELL,128.1550,-1.3065,-1.0569,0.5175,-0.9264,0.000976
1767383340.0,IWM,248.9000,0.5605,-1.0663,0.6819,0.6009,0.000281
1767383340.0,GLD,397.3800,0.6645,-1.0666,0.5771,-0.6243,-0.000126
1767383400.0,NVDA,189.1500,-1.6116,0.8453,0.4632,-0.4517,-0.001030
1767383400.0,AAPL,270.4399,0.9186,-1.2858,0.5712,-0.5033,0.000074
1767383400.0,META,652.0850,1.0150,-1.2898,0.6049,-1.1448,-0.000810
1767383400.0,PLTR,168.4400,0.6980,0.8358,0.3692,-1.1514,-0.001097
1767383400.0,TSLA,441.0801,-3.1144,-1.2937,0.7845,-0.7284,0.002660
1767383400.0,UNH,338.2500,-1.2890,-1.2840,0.4796,-0.7999,0.000680
1767383400.0,AMZN,226.4500,1.4522,-1.2835,0.6597,-0.7386,-0.000221
1767383400.0,AMD,223.1900,-0.5936,0.8418,0.6774,-0.5120,0.000157
1767383400.0,MSTR,157.5200,1.0834,0.8242,0.5860,-1.3582,-0.003227
1767383400.0,COIN,237.1000,-0.4694,0.8460,0.6611,-0.4422,-0.001978
1767383400.0,NFLX,91.3650,0.1698,0.3832,0.6595,-0.8586,-0.000328
1767383400.0,CRWV,80.2150,0.7455,-1.2974,0.6030,-0.6732,-0.000810
1767383400.0,AVGO,347.8000,-1.1089,0.8375,0.5303,-0.4410,-0.001034
1767383400.0,MSFT,472.2100,0.7827,0.8391,0.6663,-1.4590,-0.000825
1767383400.0,HOOD,115.2000,-0.6290,0.8210,0.3283,-0.8724,-0.000607
1767383400.0,MU,313.7250,0.8573,0.8280,0.5961,-1.2688,-0.000510
1767383400.0,APP,621.5200,-1.0073,0.8359,0.3919,-0.8188,-0.000804
1767383400.0,GOOGL,315.1400,-0.5360,0.8451,0.7129,-0.6494,-0.000610
1767383400.0,WMT,112.6400,0.8357,-1.2851,0.5459,-0.9330,-0.000488
1767383400.0,SMCI,31.2350,0.6309,-1.2838,0.5762,0.4369,-0.002395
1767383400.0,ADBE,336.1500,0.8272,0.8361,0.6681,-0.5361,0.000119
1767383400.0,CRM,254.9400,-1.3037,0.8365,0.4773,-0.8854,-0.000157
1767383400.0,ORCL,195.6700,0.6378,0.8292,0.6534,-0.6348,-0.002345
1767383400.0,NKE,63.1500,-0.4422,0.8346,0.4984,-0.9896,-0.000185
1767383400.0,XOM,122.4516,0.7344,-1.0488,0.4043,-1.2960,-0.000150
1767383400.0,INTC,39.6300,-1.1627,-1.2817,0.6725,-0.7335,0.000252
1767383400.0,DELL,127.9950,0.1165,0.1762,0.4716,0.1581,-0.000273
1767383400.0,IWM,248.8700,0.6489,-1.2857,0.6687,-0.0875,-0.000341
1767383400.0,GLD,397.2500,-1.9099,0.8236,0.5716,-0.5316,-0.000579
1767383460.0,NVDA,189.1401,-1.0262,0.9399,0.4771,-0.4204,-0.000871
1767383460.0,AAPL,270.4097,-0.8690,-1.1607,0.5553,-0.6367,-0.000329
1767383460.0,META,652.3000,0.7899,-1.1587,0.5909,-0.7671,-0.000314
1767383460.0,PLTR,168.4900,0.7135,0.9347,0.3637,-1.0398,-0.000760
1767383460.0,TSLA,441.3500,-1.6563,-0.4449,0.7865,-1.6354,0.001816
1767383460.0,UNH,338.3500,1.0805,-1.0294,0.5289,-0.8609,0.000503
1767383460.0,AMZN,226.4900,-1.3086,-1.1189,0.6479,-0.9609,0.000348
1767383460.0,AMD,223.3600,-0.6016,0.9366,0.7028,-0.1968,0.000807
1767383460.0,MSTR,157.6771,1.1280,0.9294,0.5601,-0.8123,-0.000969
1767383460.0,COIN,237.4000,-0.4920,0.9410,0.6537,0.4737,-0.000042
1767383460.0,NFLX,91.3750,0.7931,0.1802,0.6451,-1.1219,0.000224
1767383460.0,CRWV,80.3000,0.6836,-1.1646,0.6067,-0.5295,-0.000498
1767383460.0,AVGO,347.8558,-1.1472,0.9367,0.5671,-0.4004,-0.000988
1767383460.0,MSFT,472.4100,0.8190,0.9364,0.6605,-0.9468,-0.000127
1767383460.0,HOOD,115.2629,-0.6434,0.9196,0.3081,-0.7596,0.000372
1767383460.0,MU,313.6900,0.8972,0.9284,0.6076,-1.2196,-0.000446
1767383460.0,APP,621.6200,-1.0498,0.9391,0.3698,-0.9261,-0.001156
1767383460.0,GOOGL,315.1700,-0.5382,0.9380,0.7082,-0.6106,-0.000285
1767383460.0,WMT,112.6400,0.7863,-1.1599,0.5493,-0.9103,-0.000311
1767383460.0,SMCI,31.2501,0.5763,-1.1563,0.5622,0.4061,-0.002391
1767383460.0,ADBE,336.3050,0.8649,0.9346,0.6581,-0.6772,0.001027
1767383460.0,CRM,255.0000,-1.3313,0.9252,0.4500,-0.8204,0.000167
1767383460.0,ORCL,195.7000,0.6762,0.9283,0.6548,-0.3388,-0.001938
1767383460.0,NKE,63.1750,-0.4194,0.9234,0.4817,-0.8105,0.000396
1767383460.0,XOM,122.5050,0.9587,-1.1580,0.4537,-0.9049,0.000367
1767383460.0,INTC,39.6650,-1.0912,-1.1531,0.6821,-0.3122,0.001262
1767383460.0,DELL,128.0500,-1.2874,-1.1457,0.4944,0.2476,0.000000
1767383460.0,IWM,248.9850,0.6077,-1.1603,0.6767,-0.3514,0.000623
1767383460.0,GLD,397.3000,0.7275,-1.1610,0.5951,-0.3814,-0.000403
1767383520.0,NVDA,189.0450,-1.0181,0.8607,0.4859,-0.4934,-0.001505
1767383520.0,AAPL,270.3500,-0.9260,-1.3519,0.5661,-0.6453,-0.000628
1767383520.0,META,652.1100,0.8023,-1.3456,0.5727,-0.7429,-0.000690
1767383520.0,PLTR,168.2540,-0.6627,0.8584,0.3274,-0.6176,-0.001637
1767383520.0,TSLA,441.3399,-2.4919,-1.3541,0.7722,-1.4373,0.001588
1767383520.0,UNH,338.3700,0.6141,-0.6845,0.5083,-0.8565,0.000325
1767383520.0,AMZN,226.4800,-1.3811,-1.3492,0.6479,-0.9138,0.000221
1767383520.0,AMD,223.2050,-0.5400,0.8545,0.6852,0.1928,0.000224
1767383520.0,MSTR,157.3600,1.0984,0.8537,0.6185,0.1036,-0.002784
1767383520.0,COIN,237.2000,-0.4709,0.8653,0.6560,0.4051,-0.001473
1767383520.0,NFLX,91.3550,-0.4785,0.8442,0.6402,-1.0624,0.000203
1767383520.0,CRWV,80.2400,0.7567,-1.3520,0.5740,-0.6482,-0.000125
1767383520.0,AVGO,347.7000,-1.1151,0.8572,0.5426,-0.3389,-0.001206
1767383520.0,MSFT,472.1900,0.7816,0.8515,0.6336,-0.6145,-0.000529
1767383520.0,HOOD,115.1936,-0.5952,0.8459,0.3158,-1.1994,-0.001183
1767383520.0,MU,313.4800,0.8624,0.8453,0.6194,-1.0342,-0.001211
1767383520.0,APP,620.9600,-1.0194,0.8613,0.4140,-0.7128,-0.001672
1767383520.0,GOOGL,315.0103,-0.5108,0.8646,0.6955,-0.3401,-0.000760
1767383520.0,WMT,112.6200,0.6960,-1.2030,0.5534,-0.8678,-0.000355
1767383520.0,SMCI,31.2550,-2.0114,-0.2469,0.5550,0.4380,-0.002235
1767383520.0,ADBE,336.2300,0.8260,0.8482,0.6805,-0.8290,0.000119
1767383520.0,CRM,254.9900,-1.2984,0.8433,0.4253,-0.7941,0.000108
1767383520.0,ORCL,195.7300,0.6479,0.8507,0.6362,-0.1420,-0.001658
1767383520.0,NKE,63.1800,-0.4192,0.8486,0.4777,-0.9703,0.000079
1767383520.0,XOM,122.5000,-0.7519,0.1959,0.4335,-0.8665,0.000204
1767383520.0,INTC,39.6755,-1.1731,-1.3480,0.6844,-0.3238,0.001401
1767383520.0,DELL,128.0200,-1.2364,-1.2025,0.4630,0.2569,-0.000156
1767383520.0,IWM,248.9600,0.6617,-1.3471,0.6261,-0.4139,0.000201
1767383520.0,GLD,397.1270,0.4550,-1.0645,0.5818,-0.5319,-0.000335
1767383580.0,NVDA,188.9601,0.5424,0.7730,0.5530,-0.4939,-0.001479
1767383580.0,AAPL,270.3400,-0.9161,-1.3883,0.5698,-0.6302,-0.000481
1767383580.0,META,652.2290,0.8987,-1.3872,0.5981,-0.6998,-0.000178
1767383580.0,PLTR,168.0250,-0.6187,0.7934,0.3709,-0.3481,-0.002523
1767383580.0,TSLA,441.0750,0.5040,0.7705,0.7701,-1.4851,-0.000011
1767383580.0,UNH,338.5000,1.1862,-1.2835,0.4309,-0.7589,0.000550
1767383580.0,AMZN,226.5300,-1.3481,-1.3837,0.6197,-0.9368,0.000155
1767383580.0,AMD,223.1600,-0.4664,0.7724,0.7021,0.0711,-0.000403
1767383580.0,MSTR,157.0915,1.0308,0.7812,0.6277,0.3206,-0.004301
1767383580.0,COIN,237.0550,-0.4326,0.7907,0.6913,0.3461,-0.001390
1767383580.0,NFLX,91.3166,-0.4779,0.7872,0.6369,-0.7317,-0.000201
1767383580.0,CRWV,80.1850,-0.7764,-1.3931,0.6128,-0.5601,-0.000748
1767383580.0,AVGO,347.4575,-1.0899,0.7897,0.5598,-0.7320,-0.002262
