date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-05-01,TSLA,UP,ATM,TSLA260501C00382500,,open_lock,1s,395.52,382.5,0,2026-05-01 13:21:00-04:00,4,12.620000000000001,14.379999999999999,0.13946117274167968,T+30,2026-05-01 13:21:00-04:00,2026-05-01 13:51:00-04:00,0.25,1,concurrent,solo_full,0.011384062312762122,0.0,-0.7406501904256382
2026-05-04,AMZN,UP,ATM,AMZN260504C00270000,,open_lock,1s,274.545,270.0,0,2026-05-04 10:38:00-04:00,1,3.97,4.930000000000001,0.24181360201511337,T+30,2026-05-04 10:38:00-04:00,2026-05-04 11:08:00-04:00,0.25,1,concurrent,solo_full,0.002655156046042606,1.0,-0.3290085733693699
2026-05-05,AAPL,UP,ATM,AAPL260506C00277500,,open_lock,1s,282.43,277.5,1,2026-05-05 13:04:00-04:00,1,5.55,5.359999999999999,-0.03423423423423433,T+30,2026-05-05 13:04:00-04:00,2026-05-05 13:34:04-04:00,0.25,1,concurrent,solo_full,0.012617405778147628,0.0,-0.9944012607830027
2026-05-05,AAPL,UP,ATM,AAPL260506C00277500,,open_lock,1s,282.8501,277.5,1,2026-05-05 13:53:00-04:00,2,5.82,6.68,0.1477663230240549,T+30,2026-05-05 13:53:01-04:00,2026-05-05 14:23:00-04:00,0.25,1,concurrent,solo_full,0.013850909523243526,0.0,-1.3706701152556426
2026-05-06,NVDA,UP,ATM,NVDA260506C00200000,,open_lock,1s,205.27,200.0,0,2026-05-06 10:40:00-04:00,1,4.98,4.67,-0.06224899598393585,T+30,2026-05-06 10:40:00-04:00,2026-05-06 11:10:00-04:00,0.25,1,concurrent,solo_full,0.013689786216307454,3.0,-0.5024838253353471
2026-05-06,AMD,UP,ATM,AMD260508C00410000,,open_lock,1s,416.93,410.0,2,2026-05-06 11:22:00-04:00,1,14.52,13.02,-0.10330578512396693,T+30,2026-05-06 11:22:00-04:00,2026-05-06 11:52:00-04:00,0.25,1,concurrent,solo_full,0.015523894766187984,0.0,-2.3886606461103956
2026-05-06,NVDA,UP,ATM,NVDA260506C00200000,,open_lock,1s,206.29,200.0,0,2026-05-06 11:24:00-04:00,2,6.13,4.72,-0.23001631321370308,T+30,2026-05-06 11:24:00-04:00,2026-05-06 11:54:00-04:00,0.125,2,concurrent,split_cap,0.015611931976582172,0.0,-2.359564950864704
2026-05-07,TSLA,UP,ATM,TSLA260508C00407500,,open_lock,1s,411.92,407.5,1,2026-05-07 10:36:00-04:00,1,7.92,6.38,-0.19444444444444442,T+30,2026-05-07 10:36:00-04:00,2026-05-07 11:06:00-04:00,0.25,1,concurrent,solo_full,0.0055996837149121514,0.0,0.09742506269524989
2026-05-07,MSFT,UP,ATM,MSFT260508C00420000,,open_lock,1s,425.02,420.0,1,2026-05-07 10:51:00-04:00,1,6.7299999999999995,7.58,0.1263001485884101,T+30,2026-05-07 10:51:00-04:00,2026-05-07 11:21:00-04:00,0.125,2,concurrent,split_cap,0.006692304927577775,0.0,-0.06944474636868307
2026-05-07,TSLA,UP,ATM,TSLA260508C00407500,,open_lock,1s,410.18,407.5,1,2026-05-07 11:37:00-04:00,2,6.28,4.37,-0.304140127388535,T+30,2026-05-07 11:37:00-04:00,2026-05-07 12:07:00-04:00,0.25,1,concurrent,solo_full,0.006332890054990381,0.0,1.2939290406326693
