date,symbol,dir,moneyness,ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,source
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,open_ladder,1s,425.02,425.0,1,2026-05-07 10:51:00-04:00,1,3.62,3.84,0.06077348066298338,MF_FLIP,2026-05-07 10:51:00-04:00,2026-05-07 10:58:08-04:00,0.1,2,concurrent,split_cap,stream
2026-05-07,MSFT,UP,ATM,MSFT260508C00425000,open_ladder,1s,425.805,425.0,1,2026-05-07 11:18:00-04:00,2,4.03,4.22,0.04714640198511155,MF_FLIP,2026-05-07 11:18:00-04:00,2026-05-07 11:21:01-04:00,0.2,1,concurrent,solo_full,stream
2026-05-07,TSLA,UP,ATM,TSLA260508C00410000,open_ladder,1s,410.18,410.0,1,2026-05-07 11:37:00-04:00,2,4.93,5.22,0.05882352941176472,MF_FLIP,2026-05-07 11:37:00-04:00,2026-05-07 11:47:01-04:00,0.2,1,concurrent,solo_full,stream
2026-05-07,MSFT,UP,ATM,MSFT260508C00427500,open_ladder,1s,426.36,427.5,1,2026-05-07 11:55:00-04:00,3,2.858,2.536,-0.11266620013995798,MF_FLIP,2026-05-07 11:55:00-04:00,2026-05-07 11:59:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-07,TSLA,UP,ATM,TSLA260508C00407500,open_ladder,1s,407.5925,407.5,1,2026-05-07 12:38:00-04:00,3,5.17,5.67,0.09671179883945835,MF_FLIP,2026-05-07 12:38:01-04:00,2026-05-07 12:51:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-08,AAPL,UP,ATM,AAPL260508C00295000,open_ladder,1s,293.92,295.0,0,2026-05-08 10:30:00-04:00,1,0.578,0.624,0.0795847750865053,MF_FLIP,2026-05-08 10:30:00-04:00,2026-05-08 10:35:03-04:00,0.2,1,concurrent,solo_full,stream
2026-05-08,AAPL,UP,ATM,AAPL260508C00295000,open_ladder,1s,294.36,295.0,0,2026-05-08 10:44:00-04:00,2,0.746,0.656,-0.12064343163538871,MF_FLIP,2026-05-08 10:44:00-04:00,2026-05-08 10:49:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-08,TSLA,UP,ATM,TSLA260508C00427500,open_ladder,1s,426.3201,427.5,0,2026-05-08 10:50:00-04:00,1,2.142,3.46,0.61531279178338,TP,2026-05-08 10:50:00-04:00,2026-05-08 10:56:09-04:00,0.2,1,concurrent,solo_full,stream
2026-05-08,TSLA,UP,ATM,TSLA260508C00430000,open_ladder,1s,429.32,430.0,0,2026-05-08 11:02:00-04:00,2,2.204,2.778,0.26043557168784015,MF_FLIP,2026-05-08 11:02:00-04:00,2026-05-08 11:04:01-04:00,0.2,1,concurrent,solo_full,stream
2026-05-08,TSLA,UP,ATM,TSLA260508C00430000,open_ladder,1s,429.865,430.0,0,2026-05-08 11:35:00-04:00,3,2.726,2.158,-0.20836390315480557,MF_FLIP,2026-05-08 11:35:00-04:00,2026-05-08 11:41:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-11,TSLA,DN,ATM,TSLA260511P00417500,open_ladder,1s,417.17,417.5,0,2026-05-11 10:32:00-04:00,1,2.684,2.05,-0.23621460506706415,MF_FLIP,2026-05-11 10:32:00-04:00,2026-05-11 10:38:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-11,NVDA,UP,ATM,NVDA260511C00220000,open_ladder,1s,219.67,220.0,0,2026-05-11 10:46:00-04:00,1,0.946,1.516,0.6025369978858353,TP,2026-05-11 10:46:00-04:00,2026-05-11 10:50:52-04:00,0.2,1,concurrent,solo_full,stream
2026-05-11,NVDA,UP,ATM,NVDA260511C00220000,open_ladder,1s,220.86,220.0,0,2026-05-11 11:15:00-04:00,2,1.604,1.828,0.13965087281795507,MF_FLIP,2026-05-11 11:15:00-04:00,2026-05-11 11:19:03-04:00,0.2,1,concurrent,solo_full,stream
2026-05-11,NVDA,UP,ATM,NVDA260511C00222500,open_ladder,1s,221.37,222.5,0,2026-05-11 11:36:00-04:00,3,0.616,0.616,0.0,MF_FLIP,2026-05-11 11:36:00-04:00,2026-05-11 11:38:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-12,TSLA,DN,ATM,TSLA260513P00432500,open_ladder,1s,431.56,432.5,1,2026-05-12 10:57:00-04:00,1,6.92,7.180000000000001,0.037572254335260125,MF_FLIP,2026-05-12 10:57:00-04:00,2026-05-12 11:08:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-12,TSLA,DN,ATM,TSLA260513P00430000,open_ladder,1s,427.18,430.0,1,2026-05-12 11:22:00-04:00,2,7.53,7.82,0.038512616201859196,MF_FLIP,2026-05-12 11:22:00-04:00,2026-05-12 11:36:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-12,TSLA,DN,ATM,TSLA260513P00430000,open_ladder,1s,426.14,430.0,1,2026-05-12 11:55:00-04:00,3,8.38,8.729999999999999,0.041766109785202676,MF_FLIP,2026-05-12 11:55:00-04:00,2026-05-12 12:02:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-12,TSLA,DN,ATM,TSLA260513P00430000,open_ladder,1s,425.17,430.0,1,2026-05-12 12:31:00-04:00,4,8.83,10.479999999999999,0.1868629671574178,MF_FLIP,2026-05-12 12:31:00-04:00,2026-05-12 12:51:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-13,TSLA,UP,ATM,TSLA260513C00445000,open_ladder,1s,443.8,445.0,0,2026-05-13 10:30:00-04:00,1,2.532,4.17,0.6469194312796207,TP,2026-05-13 10:30:00-04:00,2026-05-13 10:35:11-04:00,0.2,1,concurrent,solo_full,stream
2026-05-13,TSLA,UP,ATM,TSLA260513C00447500,open_ladder,1s,447.24,447.5,0,2026-05-13 10:41:00-04:00,2,2.766,2.878,0.04049168474331166,MF_FLIP,2026-05-13 10:41:00-04:00,2026-05-13 10:52:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-13,NVDA,UP,ATM,NVDA260513C00225000,open_ladder,1s,225.48,225.0,0,2026-05-13 10:51:00-04:00,1,1.544,2.492,0.6139896373056994,TP,2026-05-13 10:51:00-04:00,2026-05-13 11:04:34-04:00,0.1,2,concurrent,split_cap,stream
2026-05-13,NVDA,UP,ATM,NVDA260513C00227500,open_ladder,1s,226.9522,227.5,0,2026-05-13 11:11:00-04:00,2,1.228,1.024,-0.16612377850162863,MF_FLIP,2026-05-13 11:11:00-04:00,2026-05-13 11:18:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-13,TSLA,UP,ATM,TSLA260513C00450000,open_ladder,1s,449.829,450.0,0,2026-05-13 11:19:00-04:00,3,3.14,3.27,0.0414012738853502,MF_FLIP,2026-05-13 11:19:00-04:00,2026-05-13 11:22:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-13,TSLA,UP,ATM,TSLA260513C00450000,open_ladder,1s,452.745,450.0,0,2026-05-13 11:40:00-04:00,4,4.78,4.67,-0.023012552301255318,MF_FLIP,2026-05-13 11:40:00-04:00,2026-05-13 11:41:01-04:00,0.2,1,concurrent,solo_full,stream
2026-05-14,NVDA,UP,ATM,NVDA260515C00235000,open_ladder,1s,235.15,235.0,1,2026-05-14 10:40:00-04:00,1,3.13,3.22,0.028753993610223683,MF_FLIP,2026-05-14 10:40:00-04:00,2026-05-14 10:53:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-14,NVDA,UP,ATM,NVDA260515C00235000,open_ladder,1s,235.415,235.0,1,2026-05-14 11:20:00-04:00,2,3.09,3.01,-0.02588996763754048,MF_FLIP,2026-05-14 11:20:01-04:00,2026-05-14 11:30:00-04:00,0.2,1,concurrent,solo_full,stream
2026-05-15,TSLA,DN,ATM,TSLA260515P00427500,open_ladder,1s,426.8771,427.5,0,2026-05-15 10:30:00-04:00,1,3.77,3.22,-0.1458885941644562,MF_FLIP,2026-05-15 10:30:00-04:00,2026-05-15 10:34:00-04:00,0.2,1,concurrent,solo_full,stream
