date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-02-17,TSLA,DN,ATM,TSLA260218P00407500,,open_ladder,day_iv,408.36,407.5,1,2026-02-17 11:36:00-05:00,1,4.6276,5.1787399999999995,0.11909845276169051,T+30,2026-02-17 11:36:00-05:00,2026-02-17 12:06:00-05:00,-0.0011798331616204027,8.0,-1.2391323907303555
2026-02-17,TSLA,DN,ATM,TSLA260218P00407500,,open_ladder,day_iv,405.795,407.5,1,2026-02-17 12:12:00-05:00,2,5.81468,5.92424,0.01884196550799011,T+30,2026-02-17 12:12:00-05:00,2026-02-17 12:42:00-05:00,-0.004054637907540903,7.0,0.7649300702239142
2026-02-17,TSLA,DN,ATM,TSLA260218P00407500,,open_ladder,day_iv,405.19,407.5,1,2026-02-17 12:50:00-05:00,3,5.9354000000000005,4.6221000000000005,-0.221265626579506,T+30,2026-02-17 12:50:00-05:00,2026-02-17 13:20:00-05:00,-0.005367410016949736,7.0,1.9215658485937195
2026-02-18,NVDA,UP,ATM,NVDA260218C00190000,,open_ladder,day_iv,189.85,190.0,0,2026-02-18 10:30:00-05:00,1,0.01006,0.009940000000000001,-0.011928429423459064,T+30,2026-02-18 15:49:00-05:00,2026-02-18 15:49:00-05:00,0.010678642714570863,1.0,-0.3346572162666251
2026-02-18,AMZN,UP,ATM,AMZN260218C00205000,,open_ladder,day_iv,205.826,205.0,0,2026-02-18 12:45:00-05:00,1,1.1166600000000002,0.9840599999999999,-0.1187469775938963,T+30,2026-02-18 12:50:00-05:00,2026-02-18 13:15:00-05:00,0.01220891550232861,1.0,-1.9628247684048932
2026-02-20,AMZN,UP,ATM,AMZN260220C00210000,,open_ladder,day_iv,210.015,210.0,0,2026-02-20 10:47:00-05:00,1,0.34204,0.33796000000000004,-0.011928429423459175,T+30,2026-02-20 14:20:00-05:00,2026-02-20 14:20:00-05:00,0.008467274233637134,9.0,-1.3115602287135624
2026-02-23,MSFT,DN,ATM,MSFT260223P00390000,,open_ladder,day_iv,389.06,390.0,0,2026-02-23 10:37:00-05:00,1,2.60554,2.5744599999999997,-0.011928429423459286,T+30,2026-02-23 12:55:00-05:00,2026-02-23 12:55:00-05:00,-0.00826229077350149,11.0,0.6875620818897566
2026-02-24,AMZN,UP,ATM,AMZN260225C00210000,,open_ladder,day_iv,209.75,210.0,1,2026-02-24 12:17:00-05:00,1,1.5492400000000002,1.4413,-0.06967287185975068,T+30,2026-02-24 12:17:00-05:00,2026-02-24 12:47:00-05:00,0.011605094270608296,1.0,-1.3555782230103468
2026-02-25,MSFT,UP,ATM,MSFT260225C00395000,,open_ladder,day_iv,399.123,395.0,0,2026-02-25 10:30:00-05:00,1,2.43452,2.40548,-0.011928429423459286,T+30,2026-02-25 11:15:00-05:00,2026-02-25 11:15:00-05:00,0.012109246462652212,2.0,-1.1411154046892014
2026-02-25,NVDA,UP,ATM,NVDA260227C00197500,,open_ladder,day_iv,196.695,197.5,2,2026-02-25 11:36:00-05:00,1,5.56318,5.75526,0.03452701512444323,T+30,2026-02-25 11:36:00-05:00,2026-02-25 12:06:00-05:00,0.010793024021059638,0.0,0.5101605289585451
2026-02-25,NVDA,UP,ATM,NVDA260227C00197500,,open_ladder,day_iv,197.44,197.5,2,2026-02-25 12:12:00-05:00,2,5.8850999999999996,5.6658,-0.03726359789978073,T+30,2026-02-25 12:12:00-05:00,2026-02-25 12:42:00-05:00,0.01241362290227066,0.0,0.6918857873764225
2026-02-26,AMD,DN,ATM,AMD260227P00205000,,open_ladder,day_iv,203.035,205.0,1,2026-02-26 11:00:00-05:00,1,4.1246,3.6082199999999998,-0.1251951704407701,T+30,2026-02-26 11:00:00-05:00,2026-02-26 11:30:00-05:00,-0.014192564718095158,11.0,-0.6279485810727656
2026-02-26,TSLA,DN,ATM,TSLA260227P00410000,,open_ladder,day_iv,407.38,410.0,1,2026-02-26 11:43:00-05:00,1,5.41228,6.9083000000000006,0.27641215901616345,T+30,2026-02-26 11:43:00-05:00,2026-02-26 12:13:00-05:00,-0.014549406345293003,7.0,0.731450825056891
2026-02-26,TSLA,DN,ATM,TSLA260227P00410000,,open_ladder,day_iv,404.89,410.0,1,2026-02-26 12:19:00-05:00,2,7.152660000000001,7.802899999999999,0.0909088367124955,T+30,2026-02-26 12:19:00-05:00,2026-02-26 12:49:00-05:00,-0.01628495425939136,4.0,0.7638914751494928
2026-02-27,NVDA,DN,ATM,NVDA260227P00180000,,open_ladder,day_iv,180.375,180.0,0,2026-02-27 11:42:00-05:00,1,1.2474399999999999,1.23256,-0.011928429423459064,T+30,2026-02-27 15:30:00-05:00,2026-02-27 15:30:00-05:00,-0.004891179463611617,7.0,0.23680155984481113
2026-02-27,TSLA,DN,ATM,TSLA260227P00400000,,open_ladder,day_iv,400.215,400.0,0,2026-02-27 12:20:00-05:00,1,1.13678,1.1232199999999999,-0.011928429423459286,T+30,2026-02-27 14:40:00-05:00,2026-02-27 14:40:00-05:00,-0.005564126973705785,4.0,2.311957117431345
2026-03-02,NVDA,UP,ATM,NVDA260304C00185000,,open_ladder,day_iv,182.635,185.0,2,2026-03-02 11:44:00-05:00,1,1.6096000000000001,1.43136,-0.11073558648111337,T+30,2026-03-02 11:44:00-05:00,2026-03-02 12:14:00-05:00,0.0006285290970449164,4.0,-1.9999366710922937
2026-03-03,NVDA,DN,ATM,NVDA260304P00180000,,open_ladder,day_iv,178.05,180.0,1,2026-03-03 10:30:00-05:00,1,3.4707000000000003,3.56846,0.028167228512979925,T+30,2026-03-03 10:30:00-05:00,2026-03-03 11:00:00-05:00,-0.02570385475595316,9.0,1.4550531946876395
2026-03-03,TSLA,DN,ATM,TSLA260304P00390000,,open_ladder,day_iv,387.18,390.0,1,2026-03-03 10:30:00-05:00,1,6.66978,6.1628,-0.07601150262827261,T+30,2026-03-03 10:30:00-05:00,2026-03-03 11:00:00-05:00,-0.02570385475595316,9.0,1.4550531946876395
2026-03-04,META,UP,ATM,META260304C00662500,,open_ladder,day_iv,670.0,662.5,0,2026-03-04 10:30:00-05:00,1,4.45658,4.40342,-0.011928429423459286,T+30,2026-03-04 15:26:00-05:00,2026-03-04 15:26:00-05:00,0.01496667608489699,4.0,-1.6497657375043533
2026-03-04,AMD,UP,ATM,AMD260306C00197500,,open_ladder,day_iv,197.0805,197.5,2,2026-03-04 10:31:00-05:00,1,3.7222,3.9461800000000005,0.06017409059158574,T+30,2026-03-04 10:31:00-05:00,2026-03-04 11:02:00-05:00,0.015540080110359566,5.0,-1.6821170548279765
2026-03-04,AMD,UP,ATM,AMD260306C00197500,,open_ladder,day_iv,198.17,197.5,2,2026-03-04 11:33:00-05:00,2,4.2755,4.83084,0.12988890188282065,T+30,2026-03-04 11:33:00-05:00,2026-03-04 12:03:00-05:00,0.015008227101235061,5.0,-0.027709250315557286
2026-03-04,AMD,UP,ATM,AMD260306C00197500,,open_ladder,day_iv,199.4701,197.5,2,2026-03-04 12:08:00-05:00,3,5.05012,6.14292,0.21639089764203634,T+30,2026-03-04 12:08:00-05:00,2026-03-04 13:00:00-05:00,0.01647082287632773,1.0,-0.4948292446087759
2026-03-04,AMD,UP,ATM,AMD260306C00197500,,open_ladder,day_iv,201.81,197.5,2,2026-03-04 13:55:00-05:00,4,6.75026,6.66974,-0.011928429423459286,T+30,2026-03-04 15:10:00-05:00,2026-03-04 15:10:00-05:00,0.017800289195073704,0.0,-1.0822337604729877
