date,symbol,dir,moneyness,ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,source
2026-02-12,AMZN,DN,ATM,AMZN260213P00205000,open_lock,day_iv,198.02,205.0,1,2026-02-12 11:27:00-05:00,2,7.152660000000001,6.6598,-0.068905833633921,T+30,2026-02-12 11:28:00-05:00,2026-02-12 11:58:00-05:00,stream
2026-02-12,AAPL,DN,ATM,AAPL260213P00275000,open_lock,1s,266.17,275.0,1,2026-02-12 11:29:00-05:00,2,8.71,9.38,0.07692307692307687,T+30,2026-02-12 11:29:01-05:00,2026-02-12 11:59:00-05:00,stream
2026-02-12,AAPL,DN,ATM,AAPL260213P00275000,open_lock,1s,264.5632,275.0,1,2026-02-12 12:18:00-05:00,3,10.65,11.65,0.0938967136150235,T+30,2026-02-12 12:18:00-05:00,2026-02-12 12:48:09-05:00,stream
2026-02-12,AAPL,DN,ATM,AAPL260213P00275000,open_lock,1s,262.2499,275.0,1,2026-02-12 12:54:00-05:00,4,12.79,13.440000000000001,0.05082095387021135,T+30,2026-02-12 12:54:01-05:00,2026-02-12 13:24:01-05:00,stream
2026-02-12,AAPL,DN,ATM,AAPL260213P00275000,open_lock,1s,261.245,275.0,1,2026-02-12 13:56:00-05:00,5,14.0,12.43,-0.11214285714285721,T+30,2026-02-12 13:56:06-05:00,2026-02-12 14:26:07-05:00,stream
2026-02-13,NVDA,DN,ATM,NVDA260213P00187500,open_lock,day_iv,183.04,187.5,0,2026-02-13 10:46:00-05:00,1,3.1689,3.1311,-0.011928429423459175,T+30,2026-02-13 13:51:00-05:00,2026-02-13 13:51:00-05:00,stream
2026-02-17,TSLA,DN,ATM,TSLA260218P00412500,open_lock,day_iv,408.36,412.5,1,2026-02-17 11:36:00-05:00,1,7.3438,7.952,0.08281815953593519,T+30,2026-02-17 11:36:00-05:00,2026-02-17 12:06:00-05:00,stream
2026-02-17,TSLA,DN,ATM,TSLA260218P00412500,open_lock,day_iv,405.795,412.5,1,2026-02-17 12:12:00-05:00,2,8.9534,9.3436,0.043581209372975716,T+30,2026-02-17 12:12:00-05:00,2026-02-17 12:43:00-05:00,stream
2026-02-17,TSLA,DN,ATM,TSLA260218P00412500,open_lock,day_iv,405.19,412.5,1,2026-02-17 12:50:00-05:00,3,9.3055,7.4052999999999995,-0.20420181613024568,T+30,2026-02-17 12:50:00-05:00,2026-02-17 13:20:00-05:00,stream
2026-02-18,NVDA,UP,ATM,NVDA260218C00187500,open_lock,1s,189.85,187.5,0,2026-02-18 10:30:00-05:00,1,2.544,2.548,0.0015723270440251014,T+30,2026-02-18 10:30:00-05:00,2026-02-18 11:00:00-05:00,stream
2026-02-18,AMZN,UP,ATM,AMZN260218C00202500,open_lock,day_iv,206.61,202.5,0,2026-02-18 10:44:00-05:00,1,1.84098,1.81902,-0.011928429423459286,T+30,2026-02-18 14:58:00-05:00,2026-02-18 14:58:00-05:00,stream
2026-02-18,NVDA,UP,ATM,NVDA260218C00187500,open_lock,1s,189.94,187.5,0,2026-02-18 11:31:00-05:00,2,2.372,1.564,-0.3406408094435075,T+30,2026-02-18 11:31:01-05:00,2026-02-18 12:01:00-05:00,stream
2026-02-24,AMZN,UP,ATM,AMZN260225C00205000,open_lock,day_iv,209.75,205.0,1,2026-02-24 12:17:00-05:00,1,4.31574,4.26426,-0.011928429423459175,T+30,2026-02-24 15:21:00-05:00,2026-02-24 15:21:00-05:00,stream
2026-02-25,NVDA,UP,ATM,NVDA260227C00195000,open_lock,day_iv,196.695,195.0,2,2026-02-25 11:36:00-05:00,1,6.8911,7.07728,0.027017457299995717,T+30,2026-02-25 11:36:00-05:00,2026-02-25 12:06:00-05:00,stream
2026-02-25,NVDA,UP,ATM,NVDA260227C00195000,open_lock,day_iv,197.44,195.0,2,2026-02-25 12:12:00-05:00,2,7.2230799999999995,7.02758,-0.027066016159311368,T+30,2026-02-25 12:12:00-05:00,2026-02-25 12:42:00-05:00,stream
