date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,size_frac,n_concurrent,position_sizing,size_reason,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-04-13,MSFT,UP,ATM,MSFT260413C00372500,,open_lock,1s,380.25,372.5,0,2026-04-13 11:27:00-04:00,2,7.85,7.54,-0.0394904458598726,MF_FLIP,2026-04-13 11:27:00-04:00,2026-04-13 11:37:04-04:00,0.15,1,concurrent,solo_full,0.0015220451049067218,5.0,1.56148772825591
2026-05-01,TSLA,UP,ATM,TSLA260501C00382500,,open_lock,1s,388.33,382.5,0,2026-05-01 10:33:00-04:00,1,6.069999999999999,4.62,-0.23887973640856663,MF_FLIP,2026-05-01 10:33:01-04:00,2026-05-01 10:37:00-04:00,0.15,1,concurrent,solo_full,0.009796285200718957,2.0,-0.24010555122640562
2026-05-04,AMZN,UP,ATM,AMZN260504C00270000,,open_lock,1s,274.545,270.0,0,2026-05-04 10:38:00-04:00,1,3.97,5.89,0.4836272040302265,MF_FLIP,2026-05-04 10:38:00-04:00,2026-05-04 10:50:00-04:00,0.15,1,concurrent,solo_full,0.002655156046042606,1.0,-0.3290085733693699
2026-05-05,AAPL,UP,ATM,AAPL260506C00277500,,open_lock,1s,282.43,277.5,1,2026-05-05 13:04:00-04:00,1,5.55,5.109999999999999,-0.07927927927927936,MF_FLIP,2026-05-05 13:04:00-04:00,2026-05-05 13:08:00-04:00,0.15,1,concurrent,solo_full,0.012617405778147628,0.0,-0.9944012607830027
2026-05-06,NVDA,UP,ATM,NVDA260506C00200000,,open_lock,1s,205.27,200.0,0,2026-05-06 10:40:00-04:00,1,4.98,5.42,0.08835341365461846,MF_FLIP,2026-05-06 10:40:00-04:00,2026-05-06 10:56:02-04:00,0.15,1,concurrent,solo_full,0.013689786216307454,3.0,-0.5024838253353471
2026-05-06,AMD,UP,ATM,AMD260508C00410000,,open_lock,1s,416.93,410.0,2,2026-05-06 11:22:00-04:00,1,14.52,13.76,-0.052341597796143224,MF_FLIP,2026-05-06 11:22:00-04:00,2026-05-06 11:38:00-04:00,0.15,1,concurrent,solo_full,0.015523894766187984,0.0,-2.3886606461103956
2026-05-06,NVDA,UP,ATM,NVDA260506C00200000,,open_lock,1s,206.29,200.0,0,2026-05-06 11:24:00-04:00,2,6.13,6.98,0.13866231647634586,MF_FLIP,2026-05-06 11:24:00-04:00,2026-05-06 11:35:00-04:00,0.075,2,concurrent,split_cap,0.015611931976582172,0.0,-2.359564950864704
2026-05-07,TSLA,UP,ATM,TSLA260508C00407500,,open_lock,1s,411.92,407.5,1,2026-05-07 10:36:00-04:00,1,7.92,8.17,0.031565656565656575,MF_FLIP,2026-05-07 10:36:00-04:00,2026-05-07 10:54:01-04:00,0.15,1,concurrent,solo_full,0.0055996837149121514,0.0,0.09742506269524989
2026-05-07,MSFT,UP,ATM,MSFT260508C00420000,,open_lock,1s,425.02,420.0,1,2026-05-07 10:51:00-04:00,1,6.7299999999999995,6.8999999999999995,0.02526002971768193,MF_FLIP,2026-05-07 10:51:00-04:00,2026-05-07 10:58:03-04:00,0.075,2,concurrent,split_cap,0.006692304927577775,0.0,-0.06944474636868307
2026-05-07,MSFT,UP,ATM,MSFT260508C00420000,,open_lock,1s,425.805,420.0,1,2026-05-07 11:18:00-04:00,2,7.44,7.58,0.018817204301075252,MF_FLIP,2026-05-07 11:18:00-04:00,2026-05-07 11:21:00-04:00,0.15,1,concurrent,solo_full,0.005541314739603731,0.0,1.7470355639696986
