date,symbol,dir,moneyness,ticker,day_lock_ticker,contract_source,quote_source,sig_spot,sig_strike,sig_dte,sig_ts,n_in_day,entry,exit,ret,reason,entry_ts,exit_ts,regime_qqq_fp,regime_vix_rev,regime_vixy_z
2026-01-16,AMD,UP,ATM,AMD260116C00232500,AMD260116C00232500,day_lock_fallback,day_iv,233.1,,,2026-01-16 12:23:00-05:00,1,0.26156,0.25844,-0.011928429423459286,T+30,2026-01-16 14:55:00-05:00,2026-01-16 14:55:00-05:00,0.0001930315606601951,3.0,-0.07420655400231077
2026-01-21,AMD,UP,ATM,AMD260123C00247500,AMD260123C00250000,signal_atm,day_iv,247.9233,247.5,2.0,2026-01-21 10:30:00-05:00,1,5.7342,7.0573999999999995,0.230755815981305,T+30,2026-01-21 10:30:00-05:00,2026-01-21 11:00:00-05:00,0.010015788434971418,8.0,-1.1425478720893087
2026-01-21,TSLA,UP,ATM,TSLA260123C00427500,TSLA260123C00427500,signal_atm,day_iv,428.02,427.5,2.0,2026-01-21 10:37:00-05:00,1,6.0360000000000005,5.695620000000001,-0.0563916500994035,T+30,2026-01-21 10:37:00-05:00,2026-01-21 11:07:00-05:00,0.011857772514966225,8.0,-1.0212153370683588
2026-01-21,AMD,UP,ATM,AMD260123C00252500,AMD260123C00250000,signal_atm,day_iv,251.8,252.5,2.0,2026-01-21 11:19:00-05:00,2,5.382099999999999,4.6718,-0.13197450809163702,T+30,2026-01-21 11:19:00-05:00,2026-01-21 11:49:00-05:00,0.012581409117821352,9.0,1.000208246375212
2026-01-22,META,UP,ATM,META260123C00635000,META260123C00640000,signal_atm,day_iv,635.58,635.0,1.0,2026-01-22 10:31:00-05:00,1,5.382099999999999,5.4670000000000005,0.015774511807658875,T+30,2026-01-22 10:31:00-05:00,2026-01-22 11:01:00-05:00,0.004366032591053504,4.0,-1.4210571724824128
2026-01-22,META,UP,ATM,META260123C00637500,META260123C00640000,signal_atm,day_iv,637.555,637.5,1.0,2026-01-22 11:15:00-05:00,2,4.848920000000001,5.9639999999999995,0.22996461067619167,T+30,2026-01-22 11:15:00-05:00,2026-01-22 11:45:00-05:00,0.007612153476595385,2.0,-0.17809004276027426
2026-01-22,AMD,UP,ATM,AMD260123C00255000,AMD260123C00255000,signal_atm,day_iv,255.34,255.0,1.0,2026-01-22 11:49:00-05:00,1,4.06424,3.3299,-0.18068322736846254,T+30,2026-01-22 11:49:00-05:00,2026-01-22 12:19:00-05:00,0.008521067324547271,1.0,-0.22940947895049477
2026-01-22,META,UP,ATM,META260123C00640000,META260123C00640000,signal_atm,day_iv,640.455,640.0,1.0,2026-01-22 11:52:00-05:00,3,4.969640000000001,6.0137,0.2100876522243058,T+30,2026-01-22 11:52:00-05:00,2026-01-22 12:22:00-05:00,0.00874829578653502,0.0,-0.7549160304059224
2026-01-22,META,UP,ATM,META260123C00642500,META260123C00640000,signal_atm,day_iv,643.405,642.5,1.0,2026-01-22 12:28:00-05:00,4,5.20102,7.0077,0.34737032351346464,T+30,2026-01-22 12:28:00-05:00,2026-01-22 12:58:00-05:00,0.007839381938583356,1.0,-1.0229684035785502
2026-01-22,META,UP,ATM,META260123C00647500,META260123C00640000,signal_atm,day_iv,646.62,647.5,1.0,2026-01-22 13:28:00-05:00,5,4.3258,2.9323,-0.32213694576725693,T+30,2026-01-22 13:28:00-05:00,2026-01-22 13:58:00-05:00,0.009243329221580332,0.0,-0.20012887168834373
2026-01-23,AMZN,UP,ATM,AMZN260123C00237500,AMZN260123C00240000,signal_atm,day_iv,239.325,237.5,0.0,2026-01-23 10:55:00-05:00,1,2.4948799999999998,2.46512,-0.011928429423459064,T+30,2026-01-23 12:37:00-05:00,2026-01-23 12:37:00-05:00,0.006294983730146031,0.0,-1.5898634265262623
2026-01-23,MSFT,UP,ATM,MSFT260123C00467500,MSFT260123C00467500,signal_atm,day_iv,470.08,467.5,0.0,2026-01-23 13:11:00-05:00,1,2.4647,1.9383,-0.21357568872479415,T+30,2026-01-23 13:35:00-05:00,2026-01-23 14:09:00-05:00,0.0035117110731661683,3.0,0.5251715784113348
2026-01-29,TSLA,DN,ATM,TSLA260130P00422500,TSLA260130P00417500,signal_atm,day_iv,422.8,422.5,1.0,2026-01-29 10:30:00-05:00,1,5.9857000000000005,9.88036,0.6506607414337502,TP,2026-01-29 10:30:00-05:00,2026-01-29 10:49:00-05:00,-0.015672148759025006,11.0,0.38288119523831304
2026-01-29,AMD,DN,ATM,AMD260130P00247500,AMD260130P00250000,signal_atm,day_iv,247.1,247.5,1.0,2026-01-29 10:33:00-05:00,1,4.024,6.460999999999999,0.6056163021868786,TP,2026-01-29 10:33:00-05:00,2026-01-29 10:50:00-05:00,-0.01717300977929448,9.0,0.8419183863219979
2026-01-29,TSLA,DN,ATM,TSLA260130P00415000,TSLA260130P00417500,signal_atm,day_iv,415.75,415.0,1.0,2026-01-29 10:55:00-05:00,2,5.7845,2.92236,-0.4947947100008644,T+30,2026-01-29 10:55:00-05:00,2026-01-29 11:25:00-05:00,-0.021707189914213942,5.0,0.7743105164238919
2026-01-29,AMD,DN,ATM,AMD260130P00247500,AMD260130P00250000,signal_atm,day_iv,247.6044,247.5,1.0,2026-01-29 12:53:00-05:00,2,3.29968,3.0913399999999998,-0.06313945594724346,T+30,2026-01-29 12:53:00-05:00,2026-01-29 13:23:00-05:00,-0.014582049702197564,4.0,1.3263076994358636
2026-01-30,META,DN,ATM,META260202P00720000,META260130P00717500,signal_atm,day_iv,721.085,720.0,1.0,2026-01-30 10:30:00-05:00,1,6.04606,7.53452,0.24618677287357382,T+30,2026-01-30 10:30:00-05:00,2026-01-30 11:00:00-05:00,-0.007912800305071799,6.0,1.6563983983368347
